,WT2-rmGR CTD,,,,WT3-rmGR CTD,,,,WT2-rmGR Peptide,,,,WT3-rmGR Peptide,,,,WT3-rmGR Peptide,,,,
Wavelengths,WT2,DOPS,DOPS:DOPC,DOPC,WT3,DOPS,DOPS:DOPC,DOPC,WT2 Peptide,DOPS,DOPS:DOPC,DOPC,WT3 Peptide,DOPS,DOPS:DOPC,DOPC,WT3 Peptide,40 mM SDS,71 mM DPC,NTS1 Peptide,NTS1 w/ DOPS
235,-1.5605,-1.637,-1.891,-1.617,-1.263,-0.483,-0.974,-1.831,-1.456,-1.189,-1.509,-0.503,-1.45,-2.157,-1.411,-0.504,-1.706,-0.997,-1.474,-0.914,-1.199
234,-1.7125,-1.825,-2.066,-1.484,-1.359,-0.525,-1.184,-1.911,-1.351,-1.414,-1.274,-0.609,-1.345,-2.268,-1.657,-0.763,-1.711,-1.319,-1.611,-0.887,-1.633
233,-1.871,-2.242,-2.2,-1.912,-1.508,-0.487,-1.075,-1.882,-1.222,-1.348,-1.289,-0.587,-1.621,-2.115,-2.059,-0.633,-2.035,-1.411,-2.031,-1.075,-2
232,-1.952,-2.412,-2.3355,-2.114,-1.591,-0.787,-1.231,-2.164,-1.447,-1.417,-1.405,-0.613,-1.989,-2.547,-2.487,-1.034,-2.264,-1.638,-1.984,-1.16,-1.687
231,-2.0585,-2.566,-2.471,-2.266,-1.677,-0.684,-1.247,-2.181,-1.774,-1.854,-1.722,-0.459,-2.165,-3.188,-2.852,-0.853,-2.338,-1.777,-2.037,-1.283,-1.819
230,-2.1585,-2.717,-2.5365,-2.443,-1.796,-0.812,-1.274,-2.533,-1.587,-1.654,-1.549,-0.567,-2.315,-3.647,-3.561,-0.612,-2.115,-1.756,-2.345,-1.601,-2.505
229,-2.277,-2.885,-2.5925,-2.525,-1.924,-0.886,-1.45,-2.418,-1.431,-1.951,-1.435,-0.911,-2.315,-4.161,-3.835,-1.401,-2.532,-1.905,-2.302,-1.323,-2.45
228,-2.3105,-2.837,-2.7245,-2.436,-2.107,-1.134,-1.34,-2.335,-1.45,-2.08,-1.504,-0.219,-2.265,-4.303,-4.307,-1.03,-2.704,-1.97,-2.347,-1.566,-2.8
227,-2.473,-2.812,-2.843,-2.675,-2.16,-1.025,-1.571,-2.535,-1.342,-1.728,-1.553,-0.723,-2.434,-4.362,-4.609,-1.268,-2.771,-2.022,-2.997,-1.659,-2.74
226,-2.5715,-3.155,-2.9575,-2.74,-2.131,-1.133,-1.579,-2.535,-1.501,-1.449,-1.698,-0.93,-2.692,-4.575,-5.298,-1.652,-2.733,-2.197,-2.667,-1.526,-2.79
